,time,fwd,trn,oL,oR
1456764789,14.49000001,167,125.1849938,160,173
1456764790,14.55999994,167,125.1808617,161,174
1456764790,14.61999989,167,125.1725409,162,175
1456764790,14.67000008,167,125.1683519,163,176
1456764790,14.73000002,167,125.1683519,164,177
1456764790,14.79999995,167,125.1641436,165,178
1456764790,14.8599999,167,125.1556688,166,179
1456764790,14.92000008,167,125.1556688,166,179
1456764790,14.98000002,167,125.151402,168,181
1456764790,15.03999996,167,125.1428089,168,181
1456764790,15.0999999,167,125.1428089,170,183
1456764790,15.16000009,167,125.1341356,171,184
1456764790,15.22000003,167,125.1297685,172,185
1456764790,15.27999997,167,125.1297685,173,186
1456764790,15.33999991,167,125.1253809,174,187
1456764790,15.4000001,167,125.1165436,175,188
1456764790,15.46000004,167,125.1165436,176,189
1456764791,15.51999998,167,125.1076227,177,190
1456764791,15.57999992,167,125.1076227,178,191
1456764791,15.63999987,167,125.1031305,179,192
1456764791,15.70000005,167,125.0940817,180,193
1456764791,15.75999999,167,125.0895249,180,193
1456764791,15.81999993,167,125.0895249,182,195
1456764791,15.87999988,167,125.0803456,183,196
1456764791,15.94000006,167,125.0757228,184,197
1456764791,16,167,125.0757228,185,198
1456764791,16.05999994,167,125.0710777,186,199
1456764791,16.11999989,167,125.0617199,187,200
1456764791,16.18000007,167,125.0617199,188,201
1456764791,16.24000001,167,125.0570068,189,202
1456764791,16.29999995,167,125.0522708,190,203
1456764791,16.3599999,167,125.0475117,190,203
1456764791,16.42000008,167,125.0379233,192,205
1456764791,16.48000002,167,125.0330937,193,206
1456764792,16.53999996,167,125.0330937,193,206
1456764792,16.5999999,167,125.0233628,195,208
1456764792,16.66000009,167,125.0233628,196,209
1456764792,16.72000003,167,125.0184612,197,210
1456764792,16.77999997,167,125.0085847,198,211
1456764792,16.83999991,167,125.0036095,199,212
1456764792,16.9000001,167,125.0036095,200,213
1456764792,16.96000004,167,124.9986093,201,214
1456764792,17.01999998,167,124.9885334,202,215
1456764792,17.07999992,167,124.9885334,203,216
1456764792,17.13999987,167,124.9834574,204,217
1456764792,17.20000005,167,124.973228,205,218
1456764792,17.25999999,167,124.973228,206,219
1456764792,17.31999993,167,124.9680743,207,220
1456764792,17.37999988,167,124.9628944,208,221
1456764792,17.44000006,167,124.957688,209,222
1456764792,17.5,167,124.9471949,210,223
1456764793,17.55999994,167,124.9471949,211,224
1456764793,17.61999989,167,124.9419078,212,225
1456764793,17.68000007,167,124.9365934,213,226
1456764793,17.74000001,167,124.9258819,214,227
1456764793,17.79999995,167,124.9258819,215,228
1456764793,17.8599999,167,124.9150587,216,229
1456764793,17.92000008,167,124.9096046,217,230
1456764793,17.98000002,167,124.9096046,218,231
1456764793,18.03999996,167,124.9041219,219,232
1456764793,18.0999999,167,124.8930698,220,233
1456764793,18.16000009,167,124.8930698,221,234
1456764793,18.22000003,167,124.8874999,222,235
1456764793,18.27999997,167,124.8819005,223,236
1456764793,18.33999991,167,124.8762714,224,237
1456764793,18.4000001,167,124.8649229,225,238
1456764793,18.46000004,167,124.8649229,226,239
1456764794,18.51999998,167,124.8534525,227,240
1456764794,18.57999992,167,124.847671,228,241
1456764794,18.63999987,167,124.8418582,229,242
1456764794,18.70000005,167,124.8418582,230,243
1456764794,18.75999999,167,124.836014,231,244
1456764794,18.81999993,167,124.8242301,232,245
1456764794,18.87999988,167,124.8242301,232,245
1456764794,18.94000006,167,124.8182899,234,247
1456764794,19,167,124.8063116,235,248
1456764794,19.05999994,167,124.8063116,235,248
1456764794,19.11999989,167,124.7942012,237,250
1456764794,19.18000007,167,124.7880957,238,251
1456764794,19.24000001,167,124.7880957,239,252
1456764794,19.29999995,167,124.7819563,239,252
1456764794,19.3599999,167,124.7695748,241,254
1456764794,19.42000008,167,124.7695748,242,255
1456764794,19.48000002,167,124.7570543,243,256
1456764795,19.53999996,167,124.7570543,244,257
1456764795,19.5999999,167,124.7443924,245,258
1456764795,19.66000009,167,124.7380078,246,259
1456764795,19.72000003,167,124.7315869,247,260
1456764795,19.77999997,167,124.7315869,248,261
1456764795,19.83999991,167,124.7251294,249,262
1456764795,19.9000001,167,124.7121036,250,263
1456764795,19.96000004,167,124.7121036,251,264
1456764795,20.01999998,167,124.7055347,252,265
1456764795,20.07999992,167,124.6922829,253,266
1456764795,20.13999987,167,124.6922829,254,267
1456764795,20.20000005,167,124.6922829,254,267
1456764795,20.25999999,167,124.6721159,256,269
1456764795,20.31999993,167,124.6721159,257,270
1456764795,20.37999988,167,124.665315,258,271
1456764795,20.44000006,167,124.6515933,259,272
1456764795,20.5,167,124.6515933,260,273
1456764796,20.55999994,167,124.6377095,261,274
1456764796,20.61999989,167,124.6377095,262,275
1456764796,20.68000007,167,124.6307058,263,276
1456764796,20.74000001,167,124.6165732,263,276
1456764796,20.79999995,167,124.6094435,265,278
1456764796,20.8599999,167,124.6094435,266,279
1456764796,20.92000008,167,124.602271,267,280
1456764796,20.98000002,167,124.5877962,268,281
1456764796,21.03999996,167,124.5877962,268,281
1456764796,21.0999999,167,124.5804931,270,283
1456764796,21.16000009,167,124.5731457,271,284
1456764796,21.22000003,167,124.5657535,271,284
1456764796,21.27999997,167,124.5508332,273,286
1456764796,21.33999991,167,124.5433043,274,287
1456764796,21.4000001,167,124.5433043,275,288
1456764796,21.46000004,167,124.5281067,275,288
1456764797,21.51999998,167,124.5281067,277,290
1456764797,21.57999992,167,124.5204373,278,291
1456764797,21.63999987,167,124.5049547,279,292
1456764797,21.70000005,167,124.4971407,279,292
1456764797,21.75999999,167,124.4971407,281,294
1456764797,21.81999993,167,124.4892776,282,295
1456764797,21.87999988,167,124.4734024,283,296
1456764797,21.94000006,167,124.4734024,284,297
1456764797,22,167,124.4653893,285,298
1456764797,22.05999994,167,124.4573252,286,299
1456764797,22.11999989,167,124.4492096,286,299
1456764797,22.18000007,167,124.4328221,287,300
1456764797,22.24000001,167,124.4328221,288,301
1456764797,22.29999995,167,124.4162228,290,303
1456764797,22.3599999,167,124.4078424,291,304
1456764797,22.42000008,167,124.3994075,292,305
1456764797,22.48000002,167,124.3994075,293,306
1456764798,22.53999996,167,124.3909175,294,307
1456764798,22.5999999,167,124.3737702,295,308
1456764798,22.66000009,167,124.3737702,295,308
1456764798,22.72000003,167,124.3651118,297,310
1456764798,22.77999997,167,124.3563962,298,311
1456764798,22.83999991,167,124.3476227,299,312
1456764798,22.9000001,167,124.3476227,299,312
